year,triad_id,node1,node2,node3,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,onset_year,is_terminal_row,row_event,duration,dur_bin,trade_dependence_12,dep_exposed_12,dep_asymmetry_12,log_dep_ratio_12,cap_asymmetry_12,exposed_is_weaker_12,log_trade_volume_12,trade_dependence_13,dep_exposed_13,dep_asymmetry_13,log_dep_ratio_13,cap_asymmetry_13,exposed_is_weaker_13,log_trade_volume_13,trade_dependence_23,dep_exposed_23,dep_asymmetry_23,log_dep_ratio_23,cap_asymmetry_23,exposed_is_weaker_23,log_trade_volume_23,trade_dependence_mean,dep_asym_mean,dep_asym_max,cap_asym_mean,cap_asym_max,trade_volume_mean,trade_volume_max,n_valid_ties,any_exposed_weaker,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
1994,100-101-110,100,101,110,FALSE,0.1146704384053689,1,32,-6.80251398392624,1993,TRUE,TRUE,1,100-101-110_S1,1995,flipped,1994,FALSE,continues,1,yr1,0.0674713666752201,0.07391505202803378,0.01232563016987937,0.182426355531397,0.00459564316189187,TRUE,7.346523433030485,3.3644626616381864e-4,0.00162437878086758,0.00155469300846718,3.148884562295802,4.421862103873108,TRUE,0.379847836485696,1.0282232660628372e-4,5.438415702269651e-4,5.244012930809628e-4,3.331310917827199,4.426457747035,TRUE,-0.7143749232508504,0.022636878422663403,0.004801574823809171,0.01232563016987937,2.9509718313566666,4.426457747035,2.337332115421777,7.346523433030485,3,TRUE,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,-0.3138748643825262,post-1989,0,0
1995,100-101-110,100,101,110,FALSE,0.11500797867443287,1,32,-6.7944082324162265,1994,FALSE,FALSE,1,100-101-110_S1,1995,flipped,1994,TRUE,flipped,2,yr2,0.0816760747396042,0.09168357717556563,0.01892265978580136,0.2311643082574355,0.01110361419609251,FALSE,7.684595557963247,3.4638407145164867e-4,0.00165220084152638,0.0015795813863489,3.1246306578827516,4.459157562907215,TRUE,0.5437298723001748,0.0018560269286627,0.0099377002061328,0.0095910570303007,3.3557949661401874,4.448053948711123,TRUE,2.3379572561237594,0.02795949524657285,0.010031099400816985,0.01892265978580136,2.97277170860481,4.459157562907215,3.5220942287957273,7.684595557963247,3,TRUE,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.3084562678182928,post-1989,0,1
1997,100-101-110,100,101,110,FALSE,0.11500797867443287,1,32,-6.769972905174943,1996,TRUE,TRUE,2,100-101-110_S2,1997,flipped,1997,TRUE,flipped,1,yr1,0.07412796982791928,0.09154626245229008,0.03152244756773768,0.4221030468652276,0.00696186690662692,FALSE,7.810146620321125,9.410602741123186e-4,0.00428119502349847,0.00407433819155049,3.029960539826143,4.505559945656316,TRUE,1.7175738171342478,0.00154328639818982,0.00867066908954962,0.00839598061023626,3.4520635866913705,4.498598078749689,TRUE,2.423287596188137,0.025537438833407138,0.014664255456508141,0.03152244756773768,3.0037066304375437,4.505559945656316,3.9836693445478364,7.810146620321125,3,TRUE,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.292121547950312,post-1989,0,1
1999,100-101-110,100,101,110,FALSE,0.11469305691776173,1,32,-6.7866047277587,1998,TRUE,TRUE,3,100-101-110_S3,2000,flipped,1999,FALSE,continues,1,yr1,0.05837363994879531,0.07214339117635253,0.02491131925250719,0.42358253088240033,0.07897548887234418,FALSE,7.382491939742049,5.769443918352969e-4,0.00243583955227431,0.00229918653218544,2.8806017483838295,4.530281980093021,TRUE,1.113525991159091,0,0,0,NA,4.451306491220677,FALSE,NA,0.019650194780210205,0.009070168594897543,0.02491131925250719,3.020187986728681,4.530281980093021,4.24800896545057,7.382491939742049,3,TRUE,-0.8096402073106089,-0.5537596743545242,1.4148164200442492,-0.3032397196087881,post-1989,0,0
2000,100-101-110,100,101,110,FALSE,0.11462239730844685,1,32,-6.79006133174727,1999,FALSE,FALSE,3,100-101-110_S3,2000,flipped,1999,TRUE,flipped,2,yr2,0.06007460123118393,0.08782245498563401,0.04672866281509951,0.7594601514722935,0.1389368977446752,FALSE,7.673208004728386,5.232019093079673e-4,0.00231827167229469,0.00220019222493098,2.9772195375388564,4.576452769957893,TRUE,1.061493186915054,0.00114890275519408,0.0074420563776073,0.0072646890648757996,3.73667968901115,4.4375158722132175,TRUE,2.2278184531971794,0.020582235298561995,0.018731181368302097,0.04672866281509951,3.050968513305262,4.576452769957893,3.6541732149468733,7.673208004728386,3,TRUE,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,-0.30555041744763045,post-1989,0,1
2003,100-101-110,100,101,110,FALSE,0.11476740687100999,1,32,-6.8640234391094,2002,TRUE,TRUE,4,100-101-110_S4,2003,flipped,2003,TRUE,flipped,1,yr1,0.0469207953093072,0.05441471433546377,0.01395578591243834,0.2963472548551915,0.23564736198251435,FALSE,7.271827882637977,6.483473571073608e-4,0.00311406100143166,0.00297907511153585,3.1385126879293086,4.895817164297574,TRUE,1.272608255946016,0.00100779583478487,0.00561361880960093,0.00543269230228755,3.4348599427844997,4.6601698023150595,TRUE,1.8618761689833876,0.016192312833733145,0.007455851108753913,0.01395578591243834,3.2638781095317158,4.895817164297574,3.4687707691891267,7.271827882637977,3,TRUE,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,-0.35499318908216554,post-1989,0,1
2006,100-101-110,100,101,110,FALSE,0.11490357687453194,1,32,-6.8758502900553955,2005,TRUE,TRUE,5,100-101-110_S5,2006,flipped,2006,TRUE,flipped,1,yr1,0.06666223053956566,0.093186074412031,0.04549812308937644,0.6699195211770206,0.28438128601635704,FALSE,8.430450396537022,7.957147848742194e-4,0.00433873279533427,0.00419280031948595,3.3921935812820374,5.101830254735436,TRUE,1.9712408437422837,6.330913624900939e-4,0.00482550801100918,0.00474244843006037,4.062113102459058,4.817448968719079,TRUE,2.0775745374114987,0.022697012228976656,0.018144457279640917,0.04549812308937644,3.401220169823624,5.101830254735436,4.159755259230268,8.430450396537022,3,TRUE,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,-0.36289929548358957,post-1989,0,1
2008,100-101-110,100,101,110,FALSE,0.11483313371520337,1,32,-6.836184647323654,2007,TRUE,TRUE,6,100-101-110_S6,2010,flipped,2008,FALSE,continues,1,yr1,0.07644553182700613,0.10364257591833868,0.04725726047694799,0.6087394497764065,0.3714939582303671,FALSE,8.988573010777811,5.936286278969291e-4,0.00334141356738054,0.00323595073234003,3.45579060384807,5.2307363635200685,TRUE,2.098228138285718,4.851765416108011e-4,0.00370255297832548,0.00363897623063074,4.064530053624477,4.859242405289701,TRUE,2.2008567729200834,0.02584144566550462,0.018044062479972922,0.04725726047694799,3.4871575756800457,5.2307363635200685,4.429219307327871,8.988573010777811,3,TRUE,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.3363832944491634,post-1989,0,0
2009,100-101-110,100,101,110,FALSE,0.11483313371520337,1,32,-6.874542626237112,2008,FALSE,FALSE,6,100-101-110_S6,2010,flipped,2008,FALSE,continues,2,yr2,0.06220945325127309,0.07508291491110962,0.0235396832930507,0.3761721306099241,0.3908629792931828,FALSE,8.504460716386582,0.00105310389705035,0.00586143158942925,0.00567222391873277,3.433303952683297,5.354868746481991,TRUE,2.520957600959798,4.201280426910857e-4,0.00282227216003027,0.0027597312134996,3.8094760832932217,4.964005767188808,TRUE,1.7901060197001326,0.021227561730338174,0.01065721280842769,0.0235396832930507,3.5699124976546606,5.354868746481991,4.2718414456821705,8.504460716386582,3,TRUE,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.3620251380826169,post-1989,0,0
2010,100-101-110,100,101,110,FALSE,0.1148677345878587,1,32,-6.894370632100297,2009,FALSE,FALSE,6,100-101-110_S6,2010,flipped,2008,TRUE,flipped,3,yr3,0.01978256949720055,0.02190357021598511,0.00403661738352108,0.2036968510737532,0.5094838493685048,FALSE,7.47160790739116,8.863593833292844e-4,0.00485876671553552,0.00469707281203859,3.4028348591382436,5.358215205756308,TRUE,2.562908044630223,4.0289675083533913e-4,0.00244535646032491,0.00237897522124286,3.606531710211997,4.848731356387804,TRUE,1.8763143050006088,0.007023941877121725,0.003704221805600843,0.00469707281203859,3.5721434705042054,5.358215205756308,3.970276752340664,7.47160790739116,3,TRUE,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,-0.3752799194946949,post-1989,0,1
1982,100-101-115,100,101,115,FALSE,0.12547831666631967,1.8888888888888886,28,-6.912209896083423,1981,TRUE,TRUE,1,100-101-115_S1,1982,flipped,1982,TRUE,flipped,1,yr1,0.03865040384441023,0.07202781517055383,0.05128785917162866,1.2449902849832777,0.17659098370742843,TRUE,6.425630435740631,0.00105528531722706,0.00322961643389611,0.00288479929429183,2.2371044116662713,4.15633854728494,TRUE,1.083837036915454,0.00716917943369977,0.04088807893549398,0.03963105891668436,3.4820946966495487,4.332929530992368,TRUE,3.622312209841823,0.015624956198445686,0.03126790579420162,0.05128785917162866,2.8886196873282457,4.332929530992368,3.7105932274993028,6.425630435740631,3,TRUE,-0.658927104157609,-0.5322415441626295,0.9601797284892816,-0.38720525108276593,1945-1989,0,1
