"label","order","b","lo1","hi1","lo2","hi2","p1","p2"
"Event year
(contemporaneous)",1,0.2975417220504,0.120351355676399,0.474732088424401,0.0426239009885961,0.552459543112203,0.000997352602734541,0.0221535630356779
"Spell onset",2,0.332236456109775,0.156947361883879,0.507525550335671,0.0774930535067107,0.586979858712839,0.000203274907596761,0.0105812286129746
"Onset − 1 yr",3,0.32014384312159,0.124087329010554,0.516200357232627,0.0820099594106284,0.558277726832552,0.00137181941605423,0.0084138169042262
"Onset − 3 yr",4,0.301299838829112,0.0788109946390512,0.523788683019172,0.00518868823912855,0.597410989419095,0.00794778522998558,0.0461144046800611
"Onset − 5 yr",5,0.304272648024314,0.112250447620677,0.49629484842795,-0.0307750002229406,0.639320296271568,0.00189792288893994,0.0750810523674469
