"dep_asymmetry","percentile","p_hat","p_lo","p_hi"
0,10,0.435035154664217,0.397242891156356,0.4735978476392
0,11,0.444718907068711,0.412350899612817,0.477562884821372
0,12,0.451941912030839,0.423686194371391,0.480510877563627
0,13,0.456083089394151,0.430207559411682,0.482197874338575
0,14,0.46016959273688,0.436657241507288,0.483860571559601
0,15,0.464472539921037,0.443462567788871,0.485609370006491
0,16,0.466010665887781,0.445898397410347,0.486234045865674
6.76099297091826e-07,17,0.467058691425492,0.447558994197732,0.486659551957815
4.58374111101321e-06,18,0.469526345808225,0.451471755639118,0.487661053764445
1.08675559581628e-05,19,0.471600440078194,0.454763309488585,0.488502435757609
1.61591489809239e-05,20,0.474283224896254,0.459024379206575,0.489590250875256
2.52279630191097e-05,21,0.47666110619308,0.462804223759984,0.490554011315878
3.85600384390491e-05,22,0.477965537336009,0.464878847290326,0.491082545434473
5.34883490847628e-05,23,0.479461896520389,0.467259627313936,0.491688720615845
7.2378554504507e-05,24,0.481119366815903,0.469897796743821,0.492360016577004
0.00010205857067187,25,0.481896974949335,0.471135860805265,0.492674908224225
0.000136127919073786,26,0.483061710026138,0.472990687072386,0.493146511392222
0.000167419832803444,27,0.484481990136628,0.475253075060684,0.493721501267045
0.000197603109731283,28,0.485879411725814,0.477479653556797,0.494287154169617
0.00023273262816664,29,0.486720108414833,0.478819440936614,0.494627417657865
0.00029057042299797,30,0.48775341523121,0.480466436187427,0.495045603474489
0.00034677463120881,31,0.488461634123535,0.481595421622496,0.495332203504607
0.000400273617317914,32,0.488949626259915,0.48237340614033,0.495529673608898
0.000494467920668554,33,0.489845721627301,0.48380214523364,0.495892267768944
0.000572534749013952,34,0.490466930280343,0.484792698736238,0.496143619263825
0.000656344858265674,35,0.49146461995447,0.486383723044212,0.496547280752449
0.000762861459474331,36,0.492233532221154,0.487610029396583,0.496858363924571
0.000867279810440714,37,0.493210276958647,0.489167928576242,0.497253513283881
0.000973018680598466,38,0.49390792936905,0.49028075726383,0.497535742879521
0.00109523757186906,39,0.494644409827653,0.49145558408174,0.497833671354349
0.00123637089442812,40,0.495454864238932,0.492748479383978,0.498161515469577
0.00135672878969687,41,0.49609156258186,0.493764228312932,0.498419066233398
0.00151076925882159,42,0.496599856635666,0.494575151709123,0.498624673082705
0.00168482312570398,43,0.497195032035178,0.495524705915802,0.498865420765516
0.00187759732062969,44,0.497615180222867,0.496195030412285,0.49903536851349
0.00207764720335808,45,0.498024576283983,0.496848208453382,0.499200965984715
0.00230256737762379,46,0.498432967635885,0.497499790022799,0.499366156166036
0.00254772975268427,47,0.498836992087769,0.498144409354822,0.499529579283658
0.00275450518290309,48,0.499225108579188,0.498763651145307,0.499686567333137
0.0029994673663602,49,0.499639220023278,0.499424370522942,0.499854069656844
0.00335316600968978,50,0.5,0.5,0.5
0.00355195188064709,51,0.500360779976722,0.500145930343156,0.500575629477058
0.00394114470374446,52,0.500774891420812,0.500313432666863,0.501236348854693
0.00432871802876428,53,0.501163007912231,0.500470420716342,0.501855590645178
0.00470226762372898,54,0.501567032364115,0.500633843833964,0.502500209977201
0.00510274995820174,55,0.501975423716017,0.500799034015284,0.503151791546618
0.00552964522820256,56,0.502384819777133,0.50096463148651,0.503804969587715
0.00598028698750127,57,0.502804967964822,0.501134579234484,0.504475294084198
0.00671769677125317,58,0.503400143364334,0.501375326917295,0.505424848290877
0.00734207968521756,59,0.50390843741814,0.501580933766602,0.506235771687068
0.00819680667256796,60,0.504545135761068,0.501838484530423,0.507251520616022
0.00929689364236869,61,0.505355590172347,0.502166328645651,0.50854441591826
0.0103026402916796,62,0.50609207063095,0.50246425712048,0.50971924273617
0.0112654366640197,63,0.506789723041353,0.502746486716119,0.510832071423758
