"percentile","p_hat","p_lo","p_hi"
10,0.876295423973756,0.655381226020873,0.963485068137133
11,0.853012370018086,0.640450113431732,0.949766447709604
12,0.823114338708894,0.623590221694689,0.928930000360367
13,0.797287485718051,0.610545050831048,0.907982738151726
14,0.78110183900669,0.602920715259497,0.893456865289381
15,0.769231118716298,0.597553949378475,0.88212052859925
16,0.766820046886904,0.596484990163369,0.879747680726158
17,0.747620466426268,0.588202101966566,0.86001143116383
18,0.718536322505195,0.576324114345871,0.827316121490511
19,0.696606471143327,0.567802868572434,0.800510385682521
20,0.695613767654493,0.567424738062033,0.799254673694362
21,0.687456747924192,0.564340456167262,0.788801367312794
22,0.664145731004035,0.555730829251998,0.757642012812908
23,0.664145731004035,0.555730829251998,0.757642012812908
24,0.656491585076504,0.552962906480425,0.74701351060343
25,0.652164245027301,0.551409663203394,0.740921607554238
26,0.640007200996644,0.547087846028837,0.72349797434168
27,0.636820140796688,0.545964450910819,0.718857153403971
28,0.612109803482604,0.537373667101031,0.681918984436123
29,0.609659589497441,0.536532232958936,0.678169727758993
30,0.608376146855243,0.536092160228609,0.676200008794845
31,0.606018388508569,0.53528490852304,0.67257124401615
32,0.603075136319543,0.534279301169502,0.668023005355013
33,0.603033536310485,0.534265104320006,0.667958576434962
34,0.597230025952714,0.532288881191515,0.658931880677092
35,0.591369246281794,0.53030152148357,0.649741358928897
36,0.582895412648066,0.527441793220566,0.636328503109151
37,0.58147639756387,0.52696438880146,0.634068745449991
38,0.580635446272251,0.526681655717099,0.632727765379434
39,0.565668561351867,0.521671681828011,0.608654439225022
40,0.55708367098193,0.518814632589414,0.594686866024866
41,0.549391076968674,0.516263170016489,0.58208678679859
42,0.547833363860319,0.515747396998247,0.579526599314074
43,0.54581353602421,0.515079024175749,0.576202830803095
44,0.539311532961416,0.512930393409279,0.565474259016468
45,0.53741082806542,0.512303066625698,0.562330280137999
46,0.530653112268399,0.510075163120223,0.55112735399672
47,0.517106746007847,0.505618365523806,0.528577071362359
48,0.512198556661444,0.504005683815223,0.52038488039982
49,0.502646158516798,0.500868781961103,0.504423468197992
50,0.5,0.5,0.5
51,0.497353841483202,0.495576531802008,0.499131218038897
52,0.487801443338556,0.47961511960018,0.495994316184777
53,0.482893253992153,0.471422928637641,0.494381634476194
54,0.469346887731601,0.44887264600328,0.489924836879777
55,0.46258917193458,0.437669719862001,0.487696933374302
56,0.460688467038584,0.434525740983532,0.487069606590721
57,0.45418646397579,0.423797169196905,0.484920975824251
58,0.452166636139681,0.420473400685926,0.484252603001753
59,0.450608923031326,0.41791321320141,0.483736829983511
60,0.44291632901807,0.405313133975134,0.481185367410586
61,0.434331438648133,0.391345560774978,0.478328318171989
62,0.419364553727749,0.367272234620566,0.473318344282901
63,0.41852360243613,0.365931254550009,0.47303561119854
64,0.417104587351934,0.363671496890849,0.472558206779434
65,0.408630753718206,0.350258641071103,0.46969847851643
66,0.402769974047286,0.341068119322908,0.467711118808485
67,0.396966463689515,0.332041423565038,0.465734895679994
68,0.396924863680457,0.331976994644987,0.465720698830498
69,0.393981611491431,0.32742875598385,0.46471509147696
70,0.391623853144757,0.323799991205155,0.463907839771391
71,0.390340410502559,0.321830272241007,0.463467767041064
72,0.387890196517396,0.318081015563877,0.462626332898969
73,0.363179859203312,0.281142846596029,0.454035549089181
74,0.359992799003356,0.27650202565832,0.452912153971163
75,0.347835754972699,0.259078392445763,0.448590336796606
76,0.343508414923496,0.25298648939657,0.447037093519575
77,0.335854268995965,0.242357987187092,0.444269170748002
78,0.335854268995965,0.242357987187092,0.444269170748002
79,0.312543252075808,0.211198632687206,0.435659543832738
80,0.304386232345507,0.200745326305638,0.432575261937967
81,0.303393528856673,0.199489614317479,0.432197131427566
82,0.281463677494805,0.172683878509489,0.423675885654129
83,0.252379533573732,0.13998856883617,0.411797898033434
84,0.233179953113096,0.120252319273842,0.403515009836631
85,0.230768881283702,0.11787947140075,0.402446050621525
86,0.21889816099331,0.106543134710619,0.397079284740503
87,0.202712514281949,0.0920172618482744,0.389454949168952
88,0.176885661291106,0.0710699996396328,0.376409778305311
89,0.146987629981914,0.0502335522903955,0.359549886568268
90,0.123704576026244,0.0365149318628672,0.344618773979127
